run,epoch,total_epochs,train_loss,val_loss,elapsed_s,best
1,0,3000,3.2961,3.2981,12,yes
1,200,3000,2.3038,2.249,141,yes
1,400,3000,2.2469,2.195,292,yes
1,600,3000,2.1842,2.1318,436,yes
1,800,3000,1.9742,1.9103,581,yes
1,1000,3000,1.7628,1.7002,723,yes
1,1200,3000,1.6714,1.604,863,yes
1,1400,3000,1.5889,1.536,1015,yes
1,1600,3000,1.5375,1.4723,1166,yes
1,1800,3000,1.4847,1.4525,1320,yes
1,2000,3000,1.4604,1.4081,1472,yes
1,2200,3000,1.4113,1.3857,1653,yes
1,2400,3000,1.3923,1.3725,1820,yes
1,2600,3000,1.3501,1.3446,1998,yes
1,2800,3000,1.3336,1.3334,2174,yes
1,2999,3000,1.3191,1.3145,2363,yes
2,0,5000,4.9244,4.9262,31,yes
2,250,5000,2.1218,2.1169,206,yes
2,500,5000,1.3606,1.35,391,yes
2,750,5000,1.154,1.1411,575,yes
2,1000,5000,1.0332,1.0296,757,yes
2,1250,5000,0.9657,0.9556,941,yes
2,1500,5000,0.9305,0.9189,1124,yes
2,1750,5000,0.8935,0.8853,1306,yes
2,2000,5000,0.8673,0.8602,1490,yes
2,2250,5000,0.8413,0.8367,1672,yes
2,2500,5000,0.8162,0.8141,1855,yes
2,2750,5000,0.8058,0.7995,2038,yes
2,3000,5000,0.7888,0.7803,2221,yes
2,3250,5000,0.7798,0.773,2403,yes
2,3500,5000,0.7634,0.7551,2585,yes
2,3750,5000,0.7588,0.7528,2768,yes
2,4000,5000,0.748,0.7434,2951,yes
2,4250,5000,0.7381,0.7351,3134,yes
2,4500,5000,0.7371,0.7314,3316,yes
2,4750,5000,0.7282,0.7239,3498,yes
2,4999,5000,0.7259,0.7176,3680,yes
3,0,5000,4.6207,4.6202,2,yes
3,200,5000,2.2058,2.1986,17,yes
3,400,5000,1.6111,1.6039,32,yes
3,600,5000,1.4109,1.4183,47,yes
3,800,5000,1.323,1.3231,61,yes
3,1000,5000,1.2495,1.2567,76,yes
3,1200,5000,1.196,1.1948,90,yes
3,1400,5000,1.1569,1.1642,105,yes
3,1600,5000,1.1283,1.1283,120,yes
3,1800,5000,1.0894,1.1023,134,yes
3,2000,5000,1.0731,1.0765,149,yes
3,2200,5000,1.0584,1.055,163,yes
3,2400,5000,1.0415,1.0346,178,yes
3,2600,5000,1.0261,1.0199,192,yes
3,2800,5000,1.0106,1.0117,207,yes
3,3000,5000,1.0,0.9956,221,yes
3,3200,5000,0.9913,0.9924,236,yes
3,3400,5000,0.9727,0.9782,251,yes
3,3600,5000,0.9656,0.972,265,yes
3,3800,5000,0.9685,0.9632,280,yes
3,4000,5000,0.9601,0.9642,294,no
3,4200,5000,0.9515,0.9489,309,yes
3,4400,5000,0.9433,0.9431,323,yes
3,4600,5000,0.9384,0.9459,338,no
3,4800,5000,0.9331,0.925,353,yes
3,4999,5000,0.9307,0.943,367,no